ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Beat,District,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
11034149,JA367307,7/28/17 16:26,072XX S DORCHESTER AVE,THEFT,$500 AND UNDER,APARTMENT,FALSE,324,3,43,6,1186798,1857108,2017,41.7630161,-87.59090925,"(41.7630161, -87.590909251)"
11034155,JA367321,7/28/17 12:30,011XX S CANAL ST,THEFT,RETAIL THEFT,GROCERY FOOD STORE,FALSE,124,1,28,6,1173303,1895451,2017,41.86854191,-87.63923536,"(41.868541914, -87.639235361)"
11034175,JA367186,7/28/17 14:45,011XX W JACKSON BLVD,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,1232,12,28,6,1168933,1898798,2017,41.87782218,-87.65518141,"(41.877822179, -87.655181405)"
11034194,JA367120,7/28/17 12:30,070XX S CHAPPEL AVE,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,APARTMENT,TRUE,331,3,43,04A,1191099,1858571,2017,41.76692774,-87.57509832,"(41.766927742, -87.575098316)"
11034274,JA367527,7/26/17 17:00,045XX S OAKENWALD AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,222,2,39,14,1185844,1874971,2017,41.81205617,-87.59384267,"(41.812056167, -87.593842673)"
11034276,JA367571,7/27/17 20:30,008XX S LAFLIN ST,THEFT,OVER $500,STREET,FALSE,1231,12,28,6,1166514,1896349,2017,41.87115403,-87.66413344,"(41.87115403, -87.664133439)"
11034277,JA367575,7/28/17 19:28,005XX S STATE ST,THEFT,$500 AND UNDER,SIDEWALK,FALSE,123,1,32,6,1176447,1897855,2017,41.8750683,-87.62762061,"(41.875068299, -87.627620612)"
11034278,JA367567,7/23/17 0:00,003XX S WESTERN AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,1125,11,28,11,1160452,1898418,2017,41.87695909,-87.68633201,"(41.876959088, -87.686332007)"
11034281,JA367391,7/28/17 14:52,003XX W GARFIELD BLVD,ASSAULT,AGGRAVATED: HANDGUN,GAS STATION,FALSE,935,9,37,04A,1175139,1868487,2017,41.79450951,-87.63330174,"(41.794509508, -87.633301738)"
11034308,JA365802,7/26/17 23:00,024XX W ARTHINGTON ST,THEFT,$500 AND UNDER,STREET,FALSE,1135,11,28,6,1160202,1895968,2017,41.87024123,-87.68731764,"(41.870241226, -87.687317637)"
11034314,JA367336,7/12/17 8:45,007XX S MICHIGAN AVE,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,123,1,32,6,1177389,1897003,2017,41.87270906,-87.62418786,"(41.872709056, -87.624187857)"
11034327,JA367549,7/27/17 18:00,011XX S CLARK ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,FALSE,123,1,32,11,1175696,1895352,2017,41.86821682,-87.6304532,"(41.86821682, -87.6304532)"
11034350,JA367246,7/28/17 15:00,010XX E 73RD ST,ROBBERY,ARMED: HANDGUN,LIBRARY,FALSE,324,3,69,3,1184245,1856821,2017,41.76228863,-87.6002753,"(41.762288629, -87.600275297)"
11034374,JA367534,7/28/17 18:15,017XX N WINNEBAGO AVE,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,1434,14,24,3,1161267,1911533,2017,41.91293082,-87.68297456,"(41.912930822, -87.682974556)"
11034376,JA367423,7/28/17 8:00,010XX S LYTLE ST,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,1231,12,28,5,1168201,1895558,2017,41.86894721,-87.65796272,"(41.868947206, -87.657962717)"
11034402,JA367620,7/28/17 19:49,021XX E 75TH ST,NARCOTICS,POSS: HEROIN(WHITE),STREET,TRUE,333,3,43,18,1191976,1855663,2017,41.7589267,-87.57197816,"(41.7589267, -87.571978161)"
11034422,JA367672,7/28/17 19:00,003XX E 47TH ST,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,FALSE,215,2,38,3,1179016,1873926,2017,41.8093471,-87.61891922,"(41.809347098, -87.618919216)"
11034426,JA367769,7/28/17 20:40,042XX S LANGLEY AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,214,2,38,26,1181634,1877110,2017,41.81802412,-87.60921855,"(41.818024121, -87.609218554)"
11034428,JA367703,7/28/17 10:00,042XX S WENTWORTH AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,FALSE,925,9,37,11,1175637,1876744,2017,41.81715636,-87.63122825,"(41.817156358, -87.631228252)"
11034467,JA367695,7/28/17 19:39,014XX W MADISON ST,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,OTHER,FALSE,1224,12,28,26,1166873,1900131,2017,41.88152445,-87.66270693,"(41.881524451, -87.662706932)"
11034493,JA367784,7/28/17 21:30,027XX W JACKSON BLVD,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,1125,11,27,14,1158178,1898580,2017,41.87745037,-87.69467705,"(41.877450368, -87.694677045)"
11034498,JA367825,7/28/17 22:30,015XX N WICKER PARK AVE,THEFT,$500 AND UNDER,PARK PROPERTY,FALSE,1424,14,24,6,1163032,1909894,2017,41.90839638,-87.67653648,"(41.908396382, -87.67653648)"
11034499,JA366578,7/28/17 4:10,011XX N DAMEN AVE,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,1212,12,24,3,1162859,1907695,2017,41.9023658,-87.67723378,"(41.902365797, -87.67723378)"
11034502,JA367829,7/28/17 6:00,015XX N BOSWORTH AVE,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,1433,14,24,6,1165779,1910240,2017,41.90928767,-87.66643552,"(41.909287666, -87.666435515)"
11034508,JA367853,7/28/17 19:45,027XX N WESTERN AVE,THEFT,OVER $500,STREET,FALSE,1411,14,22,6,1159885,1918153,2017,41.93112522,-87.68786864,"(41.931125217, -87.687868639)"
11034526,JA367877,7/28/17 6:00,027XX W HARRISON ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,1135,11,27,26,1158248,1897253,2017,41.87380752,-87.69445629,"(41.873807522, -87.69445629)"
11034566,JA367842,7/28/17 23:56,024XX W JACKSON BLVD,BATTERY,AGGRAVATED: HANDGUN,ALLEY,FALSE,1125,11,28,04B,1160283,1898630,2017,41.87754433,-87.68694666,"(41.87754433, -87.686946663)"
11034591,JA367918,7/28/17 9:00,029XX S DR MARTIN LUTHER KING JR DR,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,133,1,35,17,1179389,1885691,2017,41.84162265,-87.61719144,"(41.841622651, -87.617191438)"
11034621,JA367904,7/29/17 1:26,008XX S STATE ST,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,FALSE,123,1,32,14,1176486,1896551,2017,41.87148916,-87.62751679,"(41.871489164, -87.627516791)"
11034636,JA367932,7/29/17 0:13,015XX E 72ND PL,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,SIDEWALK,TRUE,324,3,43,24,1187684,1857223,2017,41.76331064,-87.5876583,"(41.76331064, -87.587658297)"
11034693,JA367978,7/29/17 3:01,021XX W GLADYS AVE,BATTERY,AGGRAVATED: HANDGUN,OTHER,FALSE,1225,12,28,04B,1162267,1898416,2017,41.87691586,-87.67966793,"(41.876915862, -87.679667927)"
11034716,JA366988,7/28/17 12:13,011XX S DELANO CT W,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,123,1,32,6,1175107,1895288,2017,41.86805441,-87.63261743,"(41.868054413, -87.632617432)"
11034749,JA368079,7/28/17 20:00,011XX S MICHIGAN AVE,THEFT,OVER $500,STREET,FALSE,123,1,32,6,1177427,1895245,2017,41.86788414,-87.62410167,"(41.867884137, -87.624101672)"
11034751,JA368033,7/29/17 3:30,014XX S MICHIGAN AVE,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,STREET,FALSE,131,1,33,11,1177449,1893672,2017,41.86356723,-87.62406862,"(41.863567228, -87.624068617)"
